id,units,title,Date of Release,notes
ABCOMP,Billions of Dollars,Asset-backed Commercial Paper Outstanding,,"For more information, please refer to http://www.federalreserve.gov/releases/cp/about.htm"
ABCOMPN,Billions of Dollars,Asset-backed Commercial Paper Outstanding,,"For more information, please refer to http://www.federalreserve.gov/releases/cp/about.htm"
AKCCLAIMS,Number,Continued Claims (Insured Unemployment) in Alaska,,
AKCEMPLOY,Number,Covered Employment in Alaska,,
AKICLAIMS,Number,Initial Claims in Alaska,,
AKINSUREDUR,Percent,Insured Unemployment Rate in Alaska,,
ALCCLAIMS,Number,Continued Claims (Insured Unemployment) in Alabama,,
ALCEMPLOY,Number,Covered Employment in Alabama,,
ALICLAIMS,Number,Initial Claims in Alabama,,
ALINSUREDUR,Percent,Insured Unemployment Rate in Alabama,,
ALLACBW027NBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, All Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLACBW027SBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, All Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLDCBW027NBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Domestically Chartered Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLDCBW027SBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Domestically Chartered Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLFRIW027NBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Foreign-Related Institutions",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLFRIW027SBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Foreign-Related Institutions",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLLCBW027NBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Large Domestically Chartered Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLLCBW027SBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Large Domestically Chartered Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLSCBW027NBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Small Domestically Chartered Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ALLSCBW027SBOG,Billions of U.S. Dollars,"Allowance for Loan and Lease Losses, Small Domestically Chartered Commercial Banks",,"Allowance for Loan and Lease Losses is a contra asset account. A contra asset account is an item that is entered on the asset side of the balance sheet of a corporation or entity even though the item has a credit or negative balance.   For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ANFCI,Index,Chicago Fed Adjusted National Financial Conditions Index,,"The National Financial Conditions Index (NFCI) measures risk, liquidity and leverage in money markets and debt and equity markets as well as in the traditional and ‰ÛÏshadow‰Ûù banking systems. Positive values of the NFCI indicate financial conditions that are tighter than average, while negative values indicate financial conditions that are looser than average.   The adjusted NFCI (ANFCI). This index isolates a component of financial conditions uncorrelated with economic conditions to provide an update on how financial conditions compare with current economic conditions.  For further information, please visit the Federal Reserve Bank of Chicago's web site: http://www.chicagofed.org/webpages/publications/nfci/index.cfm"
AOCACBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCACBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCDCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCDCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCFRIW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCFRIW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCLCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCLCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCSCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOCSCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: All Other Consumer Loans, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLACBW027NBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLACBW027SBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLDCBW027NBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLDCBW027SBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLFRIW027NBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLFRIW027SBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLLCBW027NBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLLCBW027SBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
AOLSCBW027NBOG,Billions of U.S. Dollars,"Other Loans and Leases: All Other Loans and Leases, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
ARCCLAIMS,Number,Continued Claims (Insured Unemployment) in Arkansas,,
ARCEMPLOY,Number,Covered Employment in Arkansas,,
ARICLAIMS,Number,Initial Claims in Arkansas,,
ARINSUREDUR,Percent,Insured Unemployment Rate in Arkansas,,
AZCCLAIMS,Number,Continued Claims (Insured Unemployment) in Arizona,,
AZCEMPLOY,Number,Covered Employment in Arizona,,
AZICLAIMS,Number,Initial Claims in Arizona,,
AZINSUREDUR,Percent,Insured Unemployment Rate in Arizona,,
BBUACBW027NBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUACBW027SBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUDCBW027NBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUDCBW027SBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUFRIW027NBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUFRIW027SBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBULCBW027NBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBULCBW027SBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUSCBW027NBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BBUSCBW027SBOG,Billions of U.S. Dollars,"Borrowings from Banks in the U.S., Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0DCBW027NBOG,Billions of U.S. Dollars,"Bank Credit, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0DCBW027SBOG,Billions of U.S. Dollars,"Bank Credit, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0FRIW027NBOG,Billions of U.S. Dollars,"Bank Credit, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0FRIW027SBOG,Billions of U.S. Dollars,"Bank Credit, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0LCBW027NBOG,Billions of U.S. Dollars,"Bank Credit, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0LCBW027SBOG,Billions of U.S. Dollars,"Bank Credit, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0SCBW027NBOG,Billions of U.S. Dollars,"Bank Credit, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BC0SCBW027SBOG,Billions of U.S. Dollars,"Bank Credit, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOACBW027NBOG,Billions of U.S. Dollars,"Borrowings from Others, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOACBW027SBOG,Billions of U.S. Dollars,"Borrowings from Others, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFODCBW027NBOG,Billions of U.S. Dollars,"Borrowings from Others, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFODCBW027SBOG,Billions of U.S. Dollars,"Borrowings from Others, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOFRIW027NBOG,Billions of U.S. Dollars,"Borrowings from Others, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOFRIW027SBOG,Billions of U.S. Dollars,"Borrowings from Others, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOLCBW027NBOG,Billions of U.S. Dollars,"Borrowings from Others, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOLCBW027SBOG,Billions of U.S. Dollars,"Borrowings from Others, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOSCBW027NBOG,Billions of U.S. Dollars,"Borrowings from Others, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BFOSCBW027SBOG,Billions of U.S. Dollars,"Borrowings from Others, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOGMBASEW,Millions of Dollars,Monetary Base; Total,,"The series equals total balances maintained plus currency in circulation.  Effective February 2, 1984, reserve computation and maintenance periods have been changed from weekly to bi-weekly. Series with data prior to February 2, 1984 have different values reported from one week to the next. After February 2, 1984, the value repeats for 2 consecutive weeks."
BOGMBBMW,Millions of Dollars,Monetary Base; Total Balances Maintained,,"Total balances maintained are balances that an institution holds in a reserve account directly at a Federal Reserve Bank.  Effective February 2, 1984, reserve computation and maintenance periods have been changed from weekly to bi-weekly. Series with data prior to February 2, 1984 have different values reported from one week to the next. After February 2, 1984, the value repeats for 2 consecutive weeks."
BORROWW,Millions of Dollars,Total Borrowings From The Federal Reserve,,"Effective February 2, 1984, reserve computation and maintenance periods have been changed from weekly to bi-weekly. Series with data prior to February 2, 1984 have different values reported from one week to the next. After February 2, 1984, the value repeats for 2 consecutive weeks."
BOWACBW027NBOG,Billions of U.S. Dollars,"Borrowings, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWACBW027SBOG,Billions of U.S. Dollars,"Borrowings, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWDCBW027NBOG,Billions of U.S. Dollars,"Borrowings, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWDCBW027SBOG,Billions of U.S. Dollars,"Borrowings, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWFRIW027NBOG,Billions of U.S. Dollars,"Borrowings, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWFRIW027SBOG,Billions of U.S. Dollars,"Borrowings, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWLCBW027NBOG,Billions of U.S. Dollars,"Borrowings, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWLCBW027SBOG,Billions of U.S. Dollars,"Borrowings, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWSCBW027NBOG,Billions of U.S. Dollars,"Borrowings, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
BOWSCBW027SBOG,Billions of U.S. Dollars,"Borrowings, Small Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CACCLAIMS,Number,Continued Claims (Insured Unemployment) in California,,
CACEMPLOY,Number,Covered Employment in California,,
CAICLAIMS,Number,Initial Claims in California,,
CAINSUREDUR,Percent,Insured Unemployment Rate in California,,
CARACBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARACBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, All Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARDCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARDCBW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARFRIW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARFRIW027SBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Foreign-Related Institutions",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
CARLCBW027NBOG,Billions of U.S. Dollars,"Consumer Loans: Other Consumer Loans: Automobile Loans, Large Domestically Chartered Commercial Banks",,"For further information, please refer to the Board of Governors of the Federal Reserve System's H.8 release, online at http://www.federalreserve.gov/releases/h8/."
