Date,Values,Delta Calculations,Delta - Mean(8.811641067100001e-05)
2008-07-31,0.001, , 
2008-08-01,0.068,0.067,0.06691188358932901
2008-08-02,0.105,0.03699999999999999,0.03691188358932899
2008-08-03,0.135,0.030000000000000013,0.029911883589329013
2008-08-04,0.148,0.013000000000000012,0.012911883589329012
2008-08-05,0.156,0.00799999999999998,0.00791188358932898
2008-08-06,0.159,0.0030000000000000027,0.002911883589329003
2008-08-07,0.162,0.0030000000000000027,0.002911883589329003
2008-08-08,0.16,-0.0020000000000000018,-0.0020881164106710016
2008-08-09,0.157,-0.0030000000000000027,-0.0030881164106710025
2008-08-10,0.16,0.0030000000000000027,0.002911883589329003
2008-08-11,0.164,0.003999999999999976,0.003911883589328976
2008-08-12,0.174,0.010000000000000009,0.009911883589329009
2008-08-13,0.183,0.009000000000000008,0.008911883589329008
2008-08-14,0.19,0.007000000000000006,0.006911883589329006
2008-08-15,0.192,0.0020000000000000018,0.0019118835893290017
2008-08-16,0.193,0.0010000000000000009,0.0009118835893290009
2008-08-17,0.194,0.0009999999999999731,0.0009118835893289732
2008-08-18,0.2,0.006000000000000033,0.005911883589329033
2008-08-19,0.202,0.001999999999999974,0.001911883589328974
2008-08-20,0.199,-0.0030000000000000027,-0.0030881164106710025
2008-08-21,0.196,-0.002999999999999975,-0.0030881164106709748
2008-08-22,0.193,-0.0030000000000000027,-0.0030881164106710025
2008-08-23,0.19,-0.0030000000000000027,-0.0030881164106710025
2008-08-24,0.185,-0.0050000000000000044,-0.005088116410671004
2008-08-25,0.184,-0.0010000000000000009,-0.001088116410671001
2008-08-26,0.185,0.0010000000000000009,0.0009118835893290009
2008-08-27,0.184,-0.0010000000000000009,-0.001088116410671001
2008-08-28,0.185,0.0010000000000000009,0.0009118835893290009
2008-08-29,0.186,0.0010000000000000286,0.0009118835893290287
2008-08-30,0.186,0.0,-8.811641067100001e-05
2008-08-31,0.178,-0.008000000000000007,-0.008088116410671007
2008-09-01,0.172,-0.006000000000000033,-0.006088116410671033
2008-09-02,0.168,-0.003999999999999976,-0.004088116410670976
2008-09-03,0.163,-0.0050000000000000044,-0.005088116410671004
2008-09-04,0.16,-0.0030000000000000027,-0.0030881164106710025
2008-09-05,0.159,-0.0010000000000000009,-0.001088116410671001
2008-09-06,0.158,-0.0010000000000000009,-0.001088116410671001
2008-09-07,0.159,0.0010000000000000009,0.0009118835893290009
