Date,Values,Delta Calculations,Delta - Mean(6.06834877036e-05)
2003-01-02,1.98, , 
2003-01-03,1.96,-0.020000000000000018,-0.020060683487703616
2003-01-06,1.95,-0.010000000000000009,-0.01006068348770361
2003-01-07,1.96,0.010000000000000009,0.009939316512296409
2003-01-08,2.09,0.1299999999999999,0.1299393165122963
2003-01-09,2.15,0.06000000000000005,0.059939316512296455
2003-01-10,2.1,-0.04999999999999982,-0.05006068348770342
2003-01-13,2.14,0.040000000000000036,0.03993931651229644
2003-01-14,2.14,0.0,-6.06834877036e-05
2003-01-15,2.19,0.04999999999999982,0.049939316512296224
2003-01-16,2.18,-0.009999999999999787,-0.010060683487703387
2003-01-17,2.15,-0.03000000000000025,-0.030060683487703847
2003-01-21,2.18,0.03000000000000025,0.02993931651229665
2003-01-22,2.1,-0.08000000000000007,-0.08006068348770368
2003-01-23,2.14,0.040000000000000036,0.03993931651229644
2003-01-24,2.14,0.0,-6.06834877036e-05
2003-01-27,2.17,0.029999999999999805,0.029939316512296206
2003-01-28,2.15,-0.020000000000000018,-0.020060683487703616
2003-01-29,2.18,0.03000000000000025,0.02993931651229665
2003-01-30,2.14,-0.040000000000000036,-0.040060683487703634
2003-01-31,2.13,-0.010000000000000231,-0.010060683487703831
2003-02-03,2.1,-0.029999999999999805,-0.030060683487703403
2003-02-04,2.14,0.040000000000000036,0.03993931651229644
2003-02-05,2.19,0.04999999999999982,0.049939316512296224
2003-02-06,2.14,-0.04999999999999982,-0.05006068348770342
2003-02-07,2.18,0.040000000000000036,0.03993931651229644
2003-02-10,2.2,0.020000000000000018,0.01993931651229642
2003-02-11,2.24,0.040000000000000036,0.03993931651229644
2003-02-12,2.18,-0.06000000000000005,-0.06006068348770365
2003-02-13,2.2,0.020000000000000018,0.01993931651229642
2003-02-14,2.22,0.020000000000000018,0.01993931651229642
2003-02-18,2.15,-0.07000000000000028,-0.07006068348770389
2003-02-19,2.16,0.010000000000000231,0.00993931651229663
2003-02-20,2.19,0.029999999999999805,0.029939316512296206
2003-02-21,2.21,0.020000000000000018,0.01993931651229642
2003-02-24,2.2,-0.009999999999999787,-0.010060683487703387
2003-02-25,2.17,-0.03000000000000025,-0.030060683487703847
2003-02-26,2.14,-0.029999999999999805,-0.030060683487703403
2003-02-27,2.11,-0.03000000000000025,-0.030060683487703847
