Date,Values,Delta Calculations,Delta - Mean(0.0364271457086)
2003-12-31,100.0, , 
2004-01-02,99.92,-0.0799999999999983,-0.1164271457085983
2004-01-05,99.94,0.01999999999999602,-0.016427145708603978
2004-01-06,100.48,0.5400000000000063,0.5035728542914063
2004-01-07,100.68,0.20000000000000284,0.16357285429140284
2004-01-08,100.8,0.11999999999999034,0.08357285429139033
2004-01-09,101.3,0.5,0.4635728542914
2004-01-12,101.59,0.29000000000000625,0.25357285429140625
2004-01-13,101.67,0.0799999999999983,0.043572854291398296
2004-01-14,101.64,-0.030000000000001137,-0.06642714570860114
2004-01-15,101.56,-0.0799999999999983,-0.1164271457085983
2004-01-16,101.5,-0.060000000000002274,-0.09642714570860228
2004-01-19,101.57,0.06999999999999318,0.03357285429139318
2004-01-20,101.49,-0.0799999999999983,-0.1164271457085983
2004-01-21,101.35,-0.14000000000000057,-0.17642714570860057
2004-01-22,101.52,0.1700000000000017,0.1335728542914017
2004-01-23,101.48,-0.03999999999999204,-0.07642714570859205
2004-01-26,101.37,-0.10999999999999943,-0.14642714570859944
2004-01-27,101.36,-0.010000000000005116,-0.046427145708605115
2004-01-28,101.33,-0.030000000000001137,-0.06642714570860114
2004-01-29,100.58,-0.75,-0.7864271457086
2004-01-30,100.7,0.12000000000000455,0.08357285429140454
2004-01-31,100.71,0.009999999999990905,-0.026427145708609094
2004-02-02,100.7,-0.009999999999990905,-0.046427145708590904
2004-02-03,100.65,-0.04999999999999716,-0.08642714570859716
2004-02-04,100.77,0.11999999999999034,0.08357285429139033
2004-02-05,100.7,-0.06999999999999318,-0.10642714570859318
2004-02-06,100.65,-0.04999999999999716,-0.08642714570859716
2004-02-09,100.76,0.10999999999999943,0.07357285429139943
2004-02-10,100.91,0.14999999999999147,0.11357285429139147
2004-02-11,100.94,0.030000000000001137,-0.006427145708598862
2004-02-12,101.16,0.21999999999999886,0.18357285429139886
2004-02-13,101.35,0.18999999999999773,0.15357285429139772
2004-02-16,101.42,0.07000000000000739,0.03357285429140739
2004-02-17,101.49,0.06999999999999318,0.03357285429139318
2004-02-18,101.66,0.1700000000000017,0.1335728542914017
2004-02-19,101.57,-0.09000000000000341,-0.12642714570860342
