id,units,title,notes,Mean
AAA10Y,Percent,Moody's Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,Series is calculated as the spread between Moody's Seasoned Aaa Corporate Bond (http://research.stlouisfed.org/fred2/series/DAAA) and 10-Year Treasury Constant Maturity (http://research.stlouisfed.org/fred2/series/DGS10).,4.80E-05
AAAFF,Percent,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate,Series is calculated as the spread between Moody's Seasoned Aaa Corporate Bond (http://research.stlouisfed.org/fred2/series/DAAA) and Effective Federal Funds Rate (http://research.stlouisfed.org/fred2/series/DFF).,0.000175762
AB1020AAAMT,Millions of Dollars,"Total Value of Issues, with a Maturity Between 10 and 20 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.319604613
AB1020AAVOL,Number,"Number of Issues, with a Maturity Between 10 and 20 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.024162548
AB14AAAMT,Millions of Dollars,"Total Value of Issues, with a Maturity Between 1 and 4 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-2.727622186
AB14AAVOL,Number,"Number of Issues, with a Maturity Between 1 and 4 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.122460187
AB2140AAAMT,Millions of Dollars,"Total Value of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.922844591
AB2140AAVOL,Number,"Number of Issues, with a Maturity Between 21 and 40 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.064250412
AB4180AAAMT,Millions of Dollars,"Total Value of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.319055464
AB4180AAVOL,Number,"Number of Issues, with a Maturity Between 41 and 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.020318506
AB59AAAMT,Millions of Dollars,"Total Value of Issues, with a Maturity Between 5 and 9 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.074409665
AB59AAVOL,Number,"Number of Issues, with a Maturity Between 5 and 9 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",-0.016749039
ABGT80AAAMT,Millions of Dollars,"Total Value of Issues, with a Maturity Greater Than 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",0.091982427
ABGT80AAVOL,Number,"Number of Issues, with a Maturity Greater Than 80 Days, Used in Calculating the AA Asset-Backed Commercial Paper Rates","For more information, please see http://www.federalreserve.gov/releases/cp/about.htm.",0.000274574
ABSSD678FRBCLE,Units of Stress,Contributions to the Cleveland Financial Stress Index: Asset-Backed Security Spread,This chart shows the contribution of the asset-backed security spread to CFSI. This spread is measured as the difference between the asset-backed bond yield and the 5-Year Treasury. It captures the ability of originators to raise capital and the relative riskiness of the securitized asset.,2.26E-05
ARINFL,Percent,State Street PriceStats Inflation Series for Argentina,This inflation series is a daily measure of inflation derived from prices posted to public websites by hundreds of online retailers.,0.00048399
BAA10Y,Percent,Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,Series is calculated as the spread between Moody's Seasoned Baa Corporate Bond (http://research.stlouisfed.org/fred2/series/DBAA) and 10-Year Treasury Constant Maturity (http://research.stlouisfed.org/fred2/series/DGS10).,6.77E-05
BAAFF,Percent,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate,Series is calculated as the spread between Moody's Seasoned Baa Corporate Bond (http://research.stlouisfed.org/fred2/series/DBAA) and Effective Federal Funds Rate (http://research.stlouisfed.org/fred2/series/DFF).,0.000323717
BAMLC0A0CM,Percent,BofA Merrill Lynch US Corporate Master Option-Adjusted Spreadë©,"The BofA Merrill Lynch Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond_Ñés OAS, weighted by market capitalization. The Corporate Master OAS uses an index of bonds that are considered investment grade (those rated BBB or better). When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   This data represents the BofA Merrill Lynch US Corporate Master Index value, which tracks the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market. To qualify for inclusion in the index, securities must have an investment grade rating (based on an average of Moody's, S&P, and Fitch) and an investment grade rated country of risk (based on an average of Moody's, S&P, and Fitch foreign currency long term sovereign debt ratings). Each security must have greater than 1 year of remaining maturity, a fixed coupon schedule, and a minimum amount outstanding of $250 million. Original issue zero coupon bonds, ""global"" securities (debt issued simultaneously in the eurobond and US  domestic bond markets), 144a securities and pay-in-kind securities, including toggle notes, qualify for inclusion in the Index. Callable perpetual securities qualify provided they are at least one year from the first call date. Fixed-to-floating rate securities also qualify provided they are callable within the fixed rate period and are at least one year from the last call prior to the date the bond transitions from a fixed to a floating rate security. DRD-eligible and defaulted securities are excluded from the Index   BofA Merrill Lynch Explains the Construction Methodology of this series as:  Index constituents are capitalization-weighted based on their current amount outstanding. With the exception of U.S.  mortgage pass-throughs and U.S. structured products (ABS, CMBS and CMOs), accrued interest is calculated assuming  next-day settlement. Accrued interest for U.S. mortgage pass-through and U.S. structured products is calculated assuming  same-day settlement. Cash flows from bond payments that are received during the month are retained in the index until  the end of the month and then are removed as part of the rebalancing. Cash does not earn any reinvestment income while  it is held in the Index. The Index is rebalanced on the last calendar day of the month, based on information available up to  and including the third business day before the last business day of the month. Issues that meet the qualifying criteria are  included in the Index for the following month. Issues that no longer meet the criteria during the course of the month  remain in the Index until the next month-end rebalancing at which point they are removed from the Index.   When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.   Source BofA Merrill Lynch, used with permission. BOFA MERRILL LYNCH IS LICENSING THE BOFA MERRILL LYNCH INDICES _ÑÒAS IS,_Ñù MAKES NO WARRANTIES REGARDING THE SAME , DOES NOT GUARANTEE THE SUITABILITY, QUALITY, ACCURACY, TIMELINESS, AND/ OR COMPLETENESS OF THE BOFA MERRILL LYNCH INDICIES OR ANY DATA INCLUDED IN, RELATED TO, OR DERIVED THEREFROM, ASSUMES NO LIABILITY IN CONNECTION WITH THEIR USE, AND DOES NOT SPONSOR, ENDORSE, OR RECOMMEND, [FRBSL], OR ANY OF ITS PRODUCTS OR SERVICES.   Copyright, 2014, Bank of America Corporation. Reprinted with permission.",0.000180087
